Make,Model,Cylinder,Trans as listed in FE Guide (derived from col AA thru AF),CityMPG,HighwayMPG,CombinedMPG,Air Aspir Method,Air Aspiration Method Desc,Transmission,Drive,Drive Desc,Fuel,Fuel Usage Desc - Conventional Fuel,Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class,Carline Class Desc,Release Date,CityCO2,HighwayCO2,CombinedCO2
BMW,650i xDrive Gran Coupe,8,Auto(S8),16,24,19,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3000,3000,4,Compact Cars,4/17/2014,566,369,477
BMW,Alpina B6 Gran Coupe xDrive,8,Auto(S8),16,24,19,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3000,3000,4,Compact Cars,4/17/2014,566,369,477
BMW,M3,6,Auto(AM-S7),17,24,19,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3000,3000,4,Compact Cars,6/1/2014,533,367,459
BMW,M3,6,Manual(M6),17,26,20,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2850,2850,4,Compact Cars,6/1/2014,520,340,439
BMW,M4 Coupe,6,Auto(AM-S7),17,24,19,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3000,3000,4,Compact Cars,6/1/2014,533,367,459
BMW,M4 Coupe,6,Manual(M6),17,26,20,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2850,2850,4,Compact Cars,6/1/2014,520,340,439
BMW,M6 Gran Coupe,8,Auto(AM-S7),14,20,16,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,4,Compact Cars,5/9/2014,652,435,554
BMW,M6 Gran Coupe,8,Manual(M6),15,22,17,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3350,3350,4,Compact Cars,5/9/2014,605,409,517
BMW,528i,4,Auto(S8),23,34,27,TC,Turbocharged,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),2100,2100,5,Midsize Cars,4/4/2014,391,265,334
BMW,M5,8,Auto(AM-S7),14,20,16,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,5,Midsize Cars,6/1/2014,652,435,554
BMW,M5,8,Manual(M6),15,22,17,TC,Turbocharged,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3350,3350,5,Midsize Cars,6/2/2014,605,409,517
BMW,740Ld xDrive,6,Auto(S8),23,31,26,TC,Turbocharged,Semi-Automatic,A,All Wheel Drive,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",2150,2150,6,Large Cars,4/15/2014,436,328,387
